GB_chromosome_id	strain_name	length	number_of_CDs	chromosome	species	GB_assembly_ID	
CP014038.2	Vibrio harveyi strain ATCC 43516 chromosome 1, complete sequence	3718359	7248	1	harveyi	GCA_001558435.2_ASM155843v2
CP014039.2	Vibrio harveyi strain ATCC 43516 chromosome 2, complete sequence	2320570	4208	2	harveyi	GCA_001558435.2_ASM155843v2
CP009264.2	Vibrio coralliilyticus strain OCN014 chromosome 1, complete sequence	3463115	6352	1	coralliilyticus	GCA_000763535.2_ASM76353v2
CP009265.2	Vibrio coralliilyticus strain OCN014 chromosome 2, complete sequence	1888898	3264	2	coralliilyticus	GCA_000763535.2_ASM76353v2
CP009266.2	Vibrio coralliilyticus strain OCN014 plasmid pOCN014, complete sequence	380781	668	p	coralliilyticus	GCA_000763535.2_ASM76353v2
CP019118.1	Vibrio fluvialis strain 12605 chromosome 1, complete sequence	3171566	1	1	fluvialis	GCA_001952955.1_ASM195295v1
CP019119.1	Vibrio fluvialis strain 12605 chromosome 2, complete sequence	1680098	1	2	fluvialis	GCA_001952955.1_ASM195295v1
CP014036.1	Vibrio diabolicus strain FDAARGOS_105 chromosome 1, complete sequence	3393494	6651	1	diabolicus	GCA_002953395.1_ASM295339v1
CP014037.1	Vibrio diabolicus strain FDAARGOS_105 chromosome 2, complete sequence	2032660	3733	2	diabolicus	GCA_002953395.1_ASM295339v1
CP009354.1	Vibrio tubiashii ATCC 19109 chromosome 1, complete sequence	3294490	6039	1	tubiashii	GCA_000772105.1_ASM77210v1
CP009355.1	Vibrio tubiashii ATCC 19109 chromosome 2, complete sequence	1766582	3190	2	tubiashii	GCA_000772105.1_ASM77210v1
CP009357.1	Vibrio tubiashii ATCC 19109 plasmid p123, complete sequence	122808	257	p	tubiashii	GCA_000772105.1_ASM77210v1
CP009356.1	Vibrio tubiashii ATCC 19109 plasmid p251, complete sequence	251408	410	p	tubiashii	GCA_000772105.1_ASM77210v1
CP009359.1	Vibrio tubiashii ATCC 19109 plasmid p48, complete sequence	47973	123	p	tubiashii	GCA_000772105.1_ASM77210v1
CP009358.1	Vibrio tubiashii ATCC 19109 plasmid p57, complete sequence	57076	145	p	tubiashii	GCA_000772105.1_ASM77210v1
CP014033.1	Vibrio fluvialis strain AK 1296-A2-1 chromosome 1, complete sequence	3150565	6000	1	fluvialis	GCA_002953375.1_ASM295337v1
CP014032.1	Vibrio fluvialis strain AK 1296-A2-1 chromosome 2, complete sequence	1716983	3187	2	fluvialis	GCA_002953375.1_ASM295337v1
CP028894.1	Vibrio cholerae strain A1552 chromosome 1, complete sequence	3015094	5548	1	cholerae	GCA_003097695.1_ASM309769v1
CP028895.1	Vibrio cholerae strain A1552 chromosome 2, complete sequence	1070374	1971	2	cholerae	GCA_003097695.1_ASM309769v1
CP020076.1	Vibrio campbellii strain 20130629003S01 chromosome I, complete sequence	3621712	6689	1	campbellii	GCA_002140055.1_ASM214005v1
CP020077.1	Vibrio campbellii strain 20130629003S01 chromosome II, complete sequence	2245751	4151	2	campbellii	GCA_002140055.1_ASM214005v1
CP020078.1	Vibrio campbellii strain 20130629003S01 plasmid pVCGX1, complete sequence	70066	173	p	campbellii	GCA_002140055.1_ASM214005v1
CP020079.1	Vibrio campbellii strain 20130629003S01 plasmid pVCGX2, complete sequence	204531	455	p	campbellii	GCA_002140055.1_ASM214005v1
CP020080.1	Vibrio campbellii strain 20130629003S01 plasmid pVCGX3, complete sequence	143140	289	p	campbellii	GCA_002140055.1_ASM214005v1
CP020081.1	Vibrio campbellii strain 20130629003S01 plasmid pVCGX4, complete sequence	86121	243	p	campbellii	GCA_002140055.1_ASM214005v1
CP016349.1	Vibrio natriegens strain CCUG 16373 chromosome 1, complete sequence	3498249	6434	1	natriegens	GCA_001680065.1_ASM168006v1
CP016350.1	Vibrio natriegens strain CCUG 16373 chromosome 2, complete sequence	2050970	3579	2	natriegens	GCA_001680065.1_ASM168006v1
CP009261.1	Vibrio vulnificus strain 93U204 chromosome I, complete sequence	3315989	6195	1	vulnificus	GCA_000746665.1_ASM74666v1
CP009262.1	Vibrio vulnificus strain 93U204 chromosome II, complete sequence	1805637	3094	2	vulnificus	GCA_000746665.1_ASM74666v1
CP009263.1	Vibrio vulnificus strain 93U204 plasmid p93U204, complete sequence	5719	23	p	vulnificus	GCA_000746665.1_ASM74666v1
CP022101.1	Vibrio anguillarum strain JLL237 chromosome 1, complete sequence	3122822	5806	1	anguillarum	GCA_002211985.1_ASM221198v1
CP022102.1	Vibrio anguillarum strain JLL237 chromosome 2, complete sequence	1164167	2164	2	anguillarum	GCA_002211985.1_ASM221198v1
CP041202.1	Vibrio parahaemolyticus strain Vb0624 chromosome 1, complete sequence	3556649	7223	1	parahaemolyticus	GCA_006517795.1_ASM651779v1
CP041201.1	Vibrio parahaemolyticus strain Vb0624 chromosome 2, complete sequence	1826851	3465	2	parahaemolyticus	GCA_006517795.1_ASM651779v1
CP010812.1	Vibrio cholerae strain 10432-62, complete genome	4077462	7427	-1	cholerae	GCA_000969265.1_ASM96926v1
CP018680.2	Vibrio harveyi isolate QT520 chromosome 1, complete sequence	3560044	6861	1	harveyi	GCA_001908435.2_ASM190843v2
CP018681.2	Vibrio harveyi isolate QT520 chromosome 2, complete sequence	2260627	4106	2	harveyi	GCA_001908435.2_ASM190843v2
CP018682.2	Vibrio harveyi isolate QT520 plasmid p1, complete sequence	113574	195	p	harveyi	GCA_001908435.2_ASM190843v2
CP018683.2	Vibrio harveyi isolate QT520 plasmid p2, complete sequence	76744	181	p	harveyi	GCA_001908435.2_ASM190843v2
CP018684.2	Vibrio harveyi isolate QT520 plasmid p3, complete sequence	59857	133	p	harveyi	GCA_001908435.2_ASM190843v2
CP002284.1	Vibrio anguillarum 775 chromosome I, complete sequence	3063912	5830	1	anguillarum	GCA_000217675.1_ASM21767v1
CP002285.1	Vibrio anguillarum 775 chromosome II, complete sequence	988135	1845	2	anguillarum	GCA_000217675.1_ASM21767v1
CP020408.2	Vibrio cholerae strain FDAARGOS_223 chromosome 1, complete sequence	2969957	5591	1	cholerae	GCA_002073335.2_ASM207333v2
CP020407.2	Vibrio cholerae strain FDAARGOS_223 chromosome 2, complete sequence	1072312	2235	2	cholerae	GCA_002073335.2_ASM207333v2
CP022103.1	Vibrio anguillarum strain CNEVA NB11008 chromosome 1, complete sequence	3132527	5841	1	anguillarum	GCA_002212025.1_ASM221202v1
CP022104.1	Vibrio anguillarum strain CNEVA NB11008 chromosome 2, complete sequence	1123902	2185	2	anguillarum	GCA_002212025.1_ASM221202v1
CP013303.1	Vibrio cholerae strain CRC711 chromosome 1, complete sequence	2993255	5583	1	cholerae	GCA_001887435.1_ASM188743v1
CP013304.1	Vibrio cholerae strain CRC711 chromosome 2, complete sequence	1064265	2139	2	cholerae	GCA_001887435.1_ASM188743v1
CP032213.1	Vibrio neocaledonicus strain CGJ02-2 chromosome 1, complete sequence	3400283	6751	1	neocaledonicus	GCA_005239365.1_ASM523936v1
CP032214.1	Vibrio neocaledonicus strain CGJ02-2 chromosome 2, complete sequence	1845572	3343	2	neocaledonicus	GCA_005239365.1_ASM523936v1
CP014045.1	Vibrio alginolyticus strain FDAARGOS_114 chromosome 1, complete sequence	3372141	6577	1	alginolyticus	GCA_002953975.1_ASM295397v1
CP014044.1	Vibrio alginolyticus strain FDAARGOS_114 chromosome 2, complete sequence	1806127	3253	2	alginolyticus	GCA_002953975.1_ASM295397v1
CP001485.1	Vibrio cholerae MJ-1236 chromosome 1, complete sequence	3149584	5786	1	cholerae	GCA_000022585.1_ASM2258v1
CP001486.1	Vibrio cholerae MJ-1236 chromosome 2, complete sequence	1086784	2022	2	cholerae	GCA_000022585.1_ASM2258v1
CP016095.1	Vibrio anguillarum strain MVAV6203, complete genome	3097087	5983	-1	anguillarum	GCA_002163795.1_ASM216379v1
CP009982.1	Vibrio parahaemolyticus strain FORC_008 chromosome 1, complete sequence	3266132	6105	1	parahaemolyticus	GCA_001244315.1_ASM124431v1
CP009983.1	Vibrio parahaemolyticus strain FORC_008 chromosome 2, complete sequence	1772036	3205	2	parahaemolyticus	GCA_001244315.1_ASM124431v1
CP000789.1	Vibrio campbellii ATCC BAA-1116 chromosome I, complete sequence	3765351	7451	1	campbellii	GCA_000017705.1_ASM1770v1
CP000790.1	Vibrio campbellii ATCC BAA-1116 chromosome II, complete sequence	2204018	4821	2	campbellii	GCA_000017705.1_ASM1770v1
CP000791.1	Vibrio campbellii ATCC BAA-1116 plasmid pVIBHAR, complete sequence	89008	241	p	campbellii	GCA_000017705.1_ASM1770v1
CP025537.1	Vibrio harveyi strain 345 chromosome 1, complete sequence	3713225	6993	1	harveyi	GCA_002850295.1_ASM285029v1
CP025538.1	Vibrio harveyi strain 345 chromosome 2, complete sequence	2220396	4081	2	harveyi	GCA_002850295.1_ASM285029v1
CP025539.1	Vibrio harveyi strain 345 plasmid p345-185, complete sequence	185327	441	p	harveyi	GCA_002850295.1_ASM285029v1
CP025540.1	Vibrio harveyi strain 345 plasmid p345-67, complete sequence	66874	161	p	harveyi	GCA_002850295.1_ASM285029v1
CP002377.1	Vibrio furnissii NCTC 11218 chromosome 1, complete sequence	3294546	6263	1	furnissii	GCA_000184325.1_ASM18432v1
CP002378.1	Vibrio furnissii NCTC 11218 chromosome 2, complete sequence	1621862	2909	2	furnissii	GCA_000184325.1_ASM18432v1
LK021130.1	Vibrio anguillarum chromosome 1, strain NB10, complete sequence	3119695	6341	1	anguillarum	GCA_000786425.1_Vibrio_anguillarum_NB10_serovar_O1
LK021129.1	Vibrio anguillarum chromosome 2, strain NB10, complete sequence	1187342	4033	2	anguillarum	GCA_000786425.1_Vibrio_anguillarum_NB10_serovar_O1
LK021128.1	Vibrio anguillarum plasmid p67vangNB10, strain NB10, complete sequence	66798	135	p	anguillarum	GCA_000786425.1_Vibrio_anguillarum_NB10_serovar_O1
CP013317.1	Vibrio cholerae strain NCTC5395 chromosome 1, complete sequence	2981414	5539	1	cholerae	GCA_001887515.1_ASM188751v1
CP013318.1	Vibrio cholerae strain NCTC5395 chromosome 2, complete sequence	1188831	2495	2	cholerae	GCA_001887515.1_ASM188751v1
CP007004.1	Vibrio parahaemolyticus UCM-V493 chromosome 1, complete sequence	3445790	6585	1	parahaemolyticus	GCA_000568495.1_ASM56849v1
CP007005.1	Vibrio parahaemolyticus UCM-V493 chromosome 2, complete sequence	1698252	3143	2	parahaemolyticus	GCA_000568495.1_ASM56849v1
CP007006.1	Vibrio parahaemolyticus UCM-V493 plasmid pVPUCMV, complete sequence	88530	231	p	parahaemolyticus	GCA_000568495.1_ASM56849v1
LS997867.1	Vibrio cholerae strain NCTC 30 genome assembly, chromosome 1	2922904	5371	1	cholerae	GCA_900538065.1_59617_E01
LS997868.1	Vibrio cholerae strain NCTC 30 genome assembly, chromosome 2	1029452	1805	2	cholerae	GCA_900538065.1_59617_E01
AP018685.1	Vibrio rumoiensis FERM P-14531 DNA, chromosome 1, complete geome	2768302	1	1	rumoiensis	GCA_002218045.2_ASM221804v2
AP018687.1	Vibrio rumoiensis FERM P-14531 plasmid 1 DNA, complete genome	159324	1	p	rumoiensis	GCA_002218045.2_ASM221804v2
AP018686.1	Vibrio rumoiensis FERM P-14531 DNA, chromosome 2, complete geome	1169909	1	2	rumoiensis	GCA_002218045.2_ASM221804v2
AP018688.1	Vibrio rumoiensis FERM P-14531 plasmid 2 DNA, complete genome	109617	1	p	rumoiensis	GCA_002218045.2_ASM221804v2
CP014134.1	Vibrio diabolicus strain LMG 3418 chromosome 1, complete sequence	3256603	6505	1	diabolicus	GCA_002953355.1_ASM295335v1
CP014133.1	Vibrio diabolicus strain LMG 3418 chromosome 2, complete sequence	1875198	3439	2	diabolicus	GCA_002953355.1_ASM295335v1
CP001233.1	Vibrio cholerae M66-2 chromosome I, complete sequence	2892523	5550	1	cholerae	GCA_000021605.1_ASM2160v1
CP001234.1	Vibrio cholerae M66-2 chromosome II, complete sequence	1046382	2243	2	cholerae	GCA_000021605.1_ASM2160v1
CP025796.1	Vibrio owensii strain 051011B chromosome 1, complete sequence	3797023	1	1	owensii	GCA_002887655.1_ASM288765v1
CP025797.1	Vibrio owensii strain 051011B chromosome 2, complete sequence	2367538	1	2	owensii	GCA_002887655.1_ASM288765v1
CP025798.1	Vibrio owensii strain 051011B plasmid unnamed1	96819	1	p	owensii	GCA_002887655.1_ASM288765v1
CP013484.1	Vibrio alginolyticus strain ATCC 33787 chromosome I, complete sequence	3362673	6214	1	alginolyticus	GCA_001469735.1_ASM146973v1
CP013485.1	Vibrio alginolyticus strain ATCC 33787 chromosome II, complete sequence	1851538	3237	2	alginolyticus	GCA_001469735.1_ASM146973v1
CP013486.1	Vibrio alginolyticus strain ATCC 33787 plasmid pMBL128, complete sequence	128112	278	p	alginolyticus	GCA_001469735.1_ASM146973v1
CP013487.1	Vibrio alginolyticus strain ATCC 33787 plasmid pMBL287, complete sequence	286750	556	p	alginolyticus	GCA_001469735.1_ASM146973v1
CP013488.1	Vibrio alginolyticus strain ATCC 33787 plasmid pMBL96, complete sequence	95866	200	p	alginolyticus	GCA_001469735.1_ASM146973v1
CP023208.1	Vibrio anguillarum strain ATCC-68554 chromosome 1, complete sequence	3078846	5740	1	anguillarum	GCA_002291265.1_ASM229126v1
CP023209.1	Vibrio anguillarum strain ATCC-68554 chromosome 2, complete sequence	998051	1832	2	anguillarum	GCA_002291265.1_ASM229126v1
CP023210.1	Vibrio anguillarum strain ATCC-68554 plasmid p65, complete sequence	65009	119	p	anguillarum	GCA_002291265.1_ASM229126v1
CP026531.1	Vibrio cholerae strain FORC_076 chromosome 1, complete sequence	2963247	5429	1	cholerae	GCA_004117115.1_ASM411711v1
CP026532.1	Vibrio cholerae strain FORC_076 chromosome 2, complete sequence	1058248	2069	2	cholerae	GCA_004117115.1_ASM411711v1
CP024867.1	Vibrio cholerae strain A1552 chromosome I, complete sequence	3015093	5769	1	cholerae	GCA_002997215.1_ASM299721v1
CP024868.1	Vibrio cholerae strain A1552 chromosome II, complete sequence	1070367	2081	2	cholerae	GCA_002997215.1_ASM299721v1
CP021980.1	Vibrio anguillarum strain 87-9-116 chromosome 1, complete sequence	3130467	5941	1	anguillarum	GCA_002211505.1_ASM221150v1
CP021981.1	Vibrio anguillarum strain 87-9-116 chromosome 2, complete sequence	1207658	2258	2	anguillarum	GCA_002211505.1_ASM221150v1
CP013319.1	Vibrio cholerae strain NCTC9420 chromosome 1, complete sequence	3008486	5665	1	cholerae	GCA_001887615.1_ASM188761v1
CP013320.1	Vibrio cholerae strain NCTC9420 chromosome 2, complete sequence	1068097	2153	2	cholerae	GCA_001887615.1_ASM188761v1
CP013301.1	Vibrio cholerae strain C5 chromosome 1, complete sequence	2996195	5601	1	cholerae	GCA_001887395.1_ASM188739v1
CP013302.1	Vibrio cholerae strain C5 chromosome 2, complete sequence	1105843	2369	2	cholerae	GCA_001887395.1_ASM188739v1
CP014046.2	Vibrio parahaemolyticus strain ATCC 17802 chromosome 1, complete sequence	3286802	6711	1	parahaemolyticus	GCA_001558495.2_ASM155849v2
CP014047.2	Vibrio parahaemolyticus strain ATCC 17802 chromosome 2, complete sequence	1865659	3493	2	parahaemolyticus	GCA_001558495.2_ASM155849v2
CP009977.1	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759 chromosome 1, complete sequence	3248023	5974	1	natriegens	GCA_001456255.1_ASM145625v1
CP009978.1	Vibrio natriegens NBRC 15636 = ATCC 14048 = DSM 759 chromosome 2, complete sequence	1927130	3321	2	natriegens	GCA_001456255.1_ASM145625v1
CP006947.1	Vibrio cholerae O1 str. KW3 chromosome I, complete sequence	3041360	5558	1	cholerae	GCA_001318185.1_ASM131818v1
CP006948.1	Vibrio cholerae O1 str. KW3 chromosome II, complete sequence	1047660	1930	2	cholerae	GCA_001318185.1_ASM131818v1
CP034970.1	Vibrio chagasii strain ECSMB14107 chromosome 1, complete sequence	3563604	1	1	chagasii	GCA_004022545.1_ASM402254v1
CP034971.1	Vibrio chagasii strain ECSMB14107 chromosome 2, complete sequence	1985753	1	2	chagasii	GCA_004022545.1_ASM402254v1
CP023310.1	Vibrio anguillarum strain VIB12 chromosome 1, complete sequence	3323092	6280	1	anguillarum	GCA_002310335.1_ASM231033v1
CP023311.1	Vibrio anguillarum strain VIB12 chromosome 2, complete sequence	1282503	2446	2	anguillarum	GCA_002310335.1_ASM231033v1
CP023312.1	Vibrio anguillarum strain VIB12 plasmid p292, complete sequence	292095	679	p	anguillarum	GCA_002310335.1_ASM231033v1
CP009984.1	Vibrio vulnificus strain FORC_009 chromosome 1, complete sequence	3222762	6051	1	vulnificus	GCA_001433435.1_ASM143343v1
CP009985.1	Vibrio vulnificus strain FORC_009 chromosome 2, complete sequence	1837943	3175	2	vulnificus	GCA_001433435.1_ASM143343v1
CP022468.1	Vibrio anguillarum strain MHK3 chromosome 1, complete sequence	2906233	5385	1	anguillarum	GCA_003595585.1_ASM359558v1
CP022469.1	Vibrio anguillarum strain MHK3 chromosome 2, complete sequence	1109692	2146	2	anguillarum	GCA_003595585.1_ASM359558v1
CP009765.1	Vibrio parahaemolyticus strain FORC_006 chromosome 1, complete sequence	3376731	6417	1	parahaemolyticus	GCA_001304775.1_ASM130477v1
CP009766.1	Vibrio parahaemolyticus strain FORC_006 chromosome 2, complete sequence	1717369	3075	2	parahaemolyticus	GCA_001304775.1_ASM130477v1
CP025936.1	Vibrio cholerae strain A1552 chromosome 1, complete sequence	3015092	5695	1	cholerae	GCA_002892855.1_ASM289285v1
CP025937.1	Vibrio cholerae strain A1552 chromosome 2, complete sequence	1070371	2235	2	cholerae	GCA_002892855.1_ASM289285v1
CP009467.2	Vibrio harveyi strain ATCC 33843 (392 [MAV]) chromosome 1, complete sequence	3621606	6666	1	harveyi	GCA_000770115.2_ASM77011v2
CP009468.1	Vibrio harveyi strain ATCC 33843 (392 [MAV]) chromosome 2, complete sequence	2259884	3954	2	harveyi	GCA_000770115.2_ASM77011v2
CP013307.1	Vibrio cholerae strain E506 chromosome 1, complete sequence	2969901	5535	1	cholerae	GCA_001887475.1_ASM188747v1
CP013308.1	Vibrio cholerae strain E506 chromosome 2, complete sequence	1092607	2221	2	cholerae	GCA_001887475.1_ASM188747v1
CP019320.1	Vibrio vulnificus strain VV2014DJH chromosome 1, complete sequence	3303590	6575	1	vulnificus	GCA_002850455.1_ASM285045v1
CP019321.1	Vibrio vulnificus strain VV2014DJH chromosome 2, complete sequence	1770972	3005	2	vulnificus	GCA_002850455.1_ASM285045v1
CP016347.1	Vibrio natriegens strain CCUG 16371 chromosome 1, complete sequence	3311485	6078	1	natriegens	GCA_001680045.1_ASM168004v1
CP016348.1	Vibrio natriegens strain CCUG 16371 chromosome 2, complete sequence	1849962	3227	2	natriegens	GCA_001680045.1_ASM168004v1
CP033141.1	Vibrio parahaemolyticus strain 160807 chromosome 1, complete sequence	3508313	7061	1	parahaemolyticus	GCA_003691525.1_ASM369152v1
CP033142.1	Vibrio parahaemolyticus strain 160807 chromosome 2, complete sequence	1781565	3403	2	parahaemolyticus	GCA_003691525.1_ASM369152v1
CP033143.1	Vibrio parahaemolyticus strain 160807 plasmid pVPWZ1, complete sequence	106229	239	p	parahaemolyticus	GCA_003691525.1_ASM369152v1
CP023485.1	Vibrio parahaemolyticus strain FORC_071 chromosome 1, complete sequence	3318228	6243	1	parahaemolyticus	GCA_003612715.1_ASM361271v1
CP023486.1	Vibrio parahaemolyticus strain FORC_071 chromosome 2, complete sequence	1855073	3321	2	parahaemolyticus	GCA_003612715.1_ASM361271v1
CP016414.1	Vibrio scophthalmi strain VS-05 chromosome 1, complete sequence	3199837	5961	1	scophthalmi	GCA_001687805.1_ASM168780v1
CP016415.1	Vibrio scophthalmi strain VS-05 chromosome 2, complete sequence	1467214	2649	2	scophthalmi	GCA_001687805.1_ASM168780v1
CP016416.1	Vibrio scophthalmi strain VS-05 plasmid pVS127, complete sequence	127066	319	p	scophthalmi	GCA_001687805.1_ASM168780v1
CP016417.1	Vibrio scophthalmi strain VS-05 plasmid pVS8, complete sequence	8734	11	p	scophthalmi	GCA_001687805.1_ASM168780v1
CP034565.1	Vibrio parahaemolyticus strain D3112 chromosome 1, complete sequence	3239077	1	1	parahaemolyticus	GCA_004194515.1_ASM419451v1
CP034566.1	Vibrio parahaemolyticus strain D3112 chromosome 2, complete sequence	1886547	1	2	parahaemolyticus	GCA_004194515.1_ASM419451v1
CP034567.1	Vibrio parahaemolyticus strain D3112 plasmid p1, complete sequence	66230	1	p	parahaemolyticus	GCA_004194515.1_ASM419451v1
CP034568.1	Vibrio parahaemolyticus strain D3112 plasmid p2, complete sequence	94438	1	p	parahaemolyticus	GCA_004194515.1_ASM419451v1
AP018677.1	Vibrio cholerae V060002 DNA, complete genome	4057041	7375	-1	cholerae	GCA_003574155.1_ASM357415v1
AP018689.1	Vibrio aphrogenes CA-1004 DNA, chromosome 1, complete geome	2494640	1	1	aphrogenes	GCA_002157735.2_ASM215773v2
AP018690.1	Vibrio aphrogenes CA-1004 DNA, chromosome 2, complete geome	880504	1	2	aphrogenes	GCA_002157735.2_ASM215773v2
CP016324.1	Vibrio cholerae 2740-80 chromosome 1, complete sequence	2987030	5582	1	cholerae	GCA_001683415.1_ASM168341v1
CP016325.1	Vibrio cholerae 2740-80 chromosome 2, complete sequence	1101931	2091	2	cholerae	GCA_001683415.1_ASM168341v1
CP018311.1	Vibrio rotiferianus B64D1 chromosome 1, complete sequence	1951588	3560	2	rotiferianus	GCA_002214395.1_ASM221439v1
CP018312.1	Vibrio rotiferianus B64D1 chromosome 2, complete sequence	3326271	6204	1	rotiferianus	GCA_002214395.1_ASM221439v1
CP010883.1	Vibrio parahaemolyticus strain CHN25 chromosome 1, complete sequence	3416467	6215	1	parahaemolyticus	GCA_001700835.1_ASM170083v1
CP010884.1	Vibrio parahaemolyticus strain CHN25 chromosome 2, complete sequence	1843316	3312	2	parahaemolyticus	GCA_001700835.1_ASM170083v1
CP010885.1	Vibrio parahaemolyticus strain CHN25 plasmid P1, complete sequence	92495	61	p	parahaemolyticus	GCA_001700835.1_ASM170083v1
CP010886.1	Vibrio parahaemolyticus strain CHN25 plasmid P2, complete sequence	83481	121	p	parahaemolyticus	GCA_001700835.1_ASM170083v1
CP010887.1	Vibrio parahaemolyticus strain CHN25 plasmid P3, complete sequence	7642	9	p	parahaemolyticus	GCA_001700835.1_ASM170083v1
CP013305.1	Vibrio cholerae strain CRC1106 chromosome 1, complete sequence	2999012	5603	1	cholerae	GCA_001887455.1_ASM188745v1
CP013306.1	Vibrio cholerae strain CRC1106 chromosome 2, complete sequence	1100107	2325	2	cholerae	GCA_001887455.1_ASM188745v1
CP019290.1	Vibrio vulnificus strain FORC_053 chromosome 1, complete sequence	3264901	6213	1	vulnificus	GCA_003522555.1_ASM352255v1
CP019291.1	Vibrio vulnificus strain FORC_053 chromosome 2, complete sequence	1865046	3215	2	vulnificus	GCA_003522555.1_ASM352255v1
CP019292.1	Vibrio vulnificus strain FORC_053 chromosome 3, complete sequence	889062	2313	p	vulnificus	GCA_003522555.1_ASM352255v1
CP019121.1	Vibrio vulnificus strain FORC_054 chromosome 1, complete sequence	3311092	6297	1	vulnificus	GCA_002863725.1_ASM286372v1
CP019122.1	Vibrio vulnificus strain FORC_054 chromosome 2, complete sequence	1777082	3097	2	vulnificus	GCA_002863725.1_ASM286372v1
CP019123.1	Vibrio vulnificus strain FORC_054 plasmid pFORC54, complete sequence	32592	81	p	vulnificus	GCA_002863725.1_ASM286372v1
CP026321.1	Vibrio campbellii strain BoB-53 chromosome 1, complete sequence	3469516	6651	1	campbellii	GCA_002906475.1_ASM290647v1
CP026322.1	Vibrio campbellii strain BoB-53 chromosome 2, complete sequence	1956059	3618	2	campbellii	GCA_002906475.1_ASM290647v1
CP007634.1	Vibrio cholerae strain 2012EL-2176 chromosome 1, complete sequence	3043139	5516	1	cholerae	GCA_000765415.1_ASM76541v1
CP007635.1	Vibrio cholerae strain 2012EL-2176 chromosome 2, complete sequence	1047617	1887	2	cholerae	GCA_000765415.1_ASM76541v1
CP007636.1	Vibrio cholerae strain 2012EL-2176 plasmid, complete sequence	167267	386	p	cholerae	GCA_000765415.1_ASM76541v1
CP022473.1	Vibrio parahaemolyticus strain MAVP-Q chromosome 1, complete sequence	3369175	6762	1	parahaemolyticus	GCA_002209725.2_ASM220972v2
CP022472.1	Vibrio parahaemolyticus strain MAVP-Q chromosome 2, complete sequence	1888119	3499	2	parahaemolyticus	GCA_002209725.2_ASM220972v2
CP014636.1	Vibrio vulnificus strain CECT 4999 chromosome I, complete sequence	3394464	6295	1	vulnificus	GCA_002215135.1_ASM221513v1
CP014637.1	Vibrio vulnificus strain CECT 4999 chromosome II, complete sequence	1700225	2861	2	vulnificus	GCA_002215135.1_ASM221513v1
